n	slug	title	kind	category	sub	kb	file	ext_assets	tech
0	dev21-anonbreadwinner-all-about-the-benjamins	[21st.dev] All About The Benjamins (by anonbreadwinner)	prose	21st.dev Registry	21st_dev	1	prompt.md		tailwind,react
0	dev21-arifuzzamanmoin-heximage	[21st.dev] Heximage (by arifuzzamanmoin)	prose	21st.dev Registry	21st_dev	1	prompt.md		tailwind,react
0	dev21-ashish.indora-red-in-black	[21st.dev] Red In Black (by ashish.indora)	prose	21st.dev Registry	21st_dev	1	prompt.md		tailwind,react
0	dev21-avanishverma4-testimonial-v2	[21st.dev] Testimonial V2 (by avanishverma4)	prose	21st.dev Registry	21st_dev	1	prompt.md		tailwind,react
0	dev21-beratberkayg-ai-loader	[21st.dev] Ai Loader (by beratberkayg)	prose	21st.dev Registry	21st_dev	1	prompt.md		tailwind,react
0	dev21-dani_0212bfb0-ai-agent-pipeline	[21st.dev] Ai Agent Pipeline (by dani_0212bfb0)	prose	21st.dev Registry	21st_dev	1	prompt.md		tailwind,react
0	dev21-designali-in-liquid-glass-button	[21st.dev] Liquid Glass Button (by designali-in)	prose	21st.dev Registry	21st_dev	1	prompt.md		tailwind,react
0	dev21-designali-in-shader-animation	[21st.dev] Shader Animation (by designali-in)	prose	21st.dev Registry	21st_dev	1	prompt.md		tailwind,react
0	dev21-designali-in-shader-lines	[21st.dev] Shader Lines (by designali-in)	prose	21st.dev Registry	21st_dev	1	prompt.md		tailwind,react
0	dev21-designali-in-web-gl-shader	[21st.dev] Web Gl Shader (by designali-in)	prose	21st.dev Registry	21st_dev	1	prompt.md		tailwind,react
0	dev21-easemize-ai-prompt-box	[21st.dev] Ai Prompt Box (by easemize)	prose	21st.dev Registry	21st_dev	1	prompt.md		tailwind,react
0	dev21-easemize-animated-glassy-pricing	[21st.dev] Animated Glassy Pricing (by easemize)	prose	21st.dev Registry	21st_dev	1	prompt.md		tailwind,react
0	dev21-easemize-chatgpt-prompt-input	[21st.dev] Chatgpt Prompt Input (by easemize)	prose	21st.dev Registry	21st_dev	1	prompt.md		tailwind,react
0	dev21-easemize-cinematic-landing-hero	[21st.dev] Cinematic Landing Hero (by easemize)	prose	21st.dev Registry	21st_dev	1	prompt.md		tailwind,react
0	dev21-easemize-spotlight-card	[21st.dev] Spotlight Card (by easemize)	prose	21st.dev Registry	21st_dev	1	prompt.md		tailwind,react
0	dev21-jatin-yadav05-unique-testimonial	[21st.dev] Unique Testimonial (by jatin-yadav05)	prose	21st.dev Registry	21st_dev	1	prompt.md		tailwind,react
0	dev21-jatin-yadav05-vapour-text-effect	[21st.dev] Vapour Text Effect (by jatin-yadav05)	prose	21st.dev Registry	21st_dev	1	prompt.md		tailwind,react
0	dev21-karthiksivacharan-neon-nebula	[21st.dev] Neon Nebula (by karthiksivacharan)	prose	21st.dev Registry	21st_dev	1	prompt.md		tailwind,react
0	dev21-larsen66-feature-carousel	[21st.dev] Feature Carousel (by larsen66)	prose	21st.dev Registry	21st_dev	1	prompt.md		tailwind,react
0	dev21-maxim.bort.devel-circular-testimonials	[21st.dev] Circular Testimonials (by maxim.bort.devel)	prose	21st.dev Registry	21st_dev	1	prompt.md		tailwind,react
0	dev21-minhxthanh-animated-shader-background	[21st.dev] Animated Shader Background (by minhxthanh)	prose	21st.dev Registry	21st_dev	1	prompt.md		tailwind,react
0	dev21-minhxthanh-gradient-menu	[21st.dev] Gradient Menu (by minhxthanh)	prose	21st.dev Registry	21st_dev	1	prompt.md		tailwind,react
0	dev21-minhxthanh-shader-background	[21st.dev] Shader Background (by minhxthanh)	prose	21st.dev Registry	21st_dev	1	prompt.md		tailwind,react
0	dev21-moazamtrade-animate-card-animation	[21st.dev] Animate Card Animation (by moazamtrade)	prose	21st.dev Registry	21st_dev	1	prompt.md		tailwind,react
0	dev21-moazamtrade-the-infinite-grid	[21st.dev] The Infinite Grid (by moazamtrade)	prose	21st.dev Registry	21st_dev	1	prompt.md		tailwind,react
0	dev21-muhammad-binsalman-glowing-ai-chat-assistant	[21st.dev] Glowing Ai Chat Assistant (by muhammad-binsalman)	prose	21st.dev Registry	21st_dev	1	prompt.md		tailwind,react
0	dev21-muhammadnadeemmn9485134-background-paper-shaders	[21st.dev] Background Paper Shaders (by muhammadnadeemmn9485134)	prose	21st.dev Registry	21st_dev	1	prompt.md		tailwind,react
0	dev21-nblairwalker-m-ascii	[21st.dev] M Ascii (by nblairwalker)	prose	21st.dev Registry	21st_dev	1	prompt.md		tailwind,react
0	dev21-nblairwalker-n-ascii	[21st.dev] N Ascii (by nblairwalker)	prose	21st.dev Registry	21st_dev	1	prompt.md		tailwind,react
0	dev21-nblairwalker-nm	[21st.dev] Nm (by nblairwalker)	prose	21st.dev Registry	21st_dev	1	prompt.md		tailwind,react
0	dev21-nellycyberpro-maomao	[21st.dev] Maomao (by nellycyberpro)	prose	21st.dev Registry	21st_dev	1	prompt.md		tailwind,react
0	dev21-nubmaster4568-sign-in-flow-1	[21st.dev] Sign In Flow 1 (by nubmaster4568)	prose	21st.dev Registry	21st_dev	1	prompt.md		tailwind,react
0	dev21-prashantsom75-scroll-morph-hero	[21st.dev] Scroll Morph Hero (by prashantsom75)	prose	21st.dev Registry	21st_dev	1	prompt.md		tailwind,react
0	dev21-ravikatiyar162-animated-shader-hero	[21st.dev] Animated Shader Hero (by ravikatiyar162)	prose	21st.dev Registry	21st_dev	1	prompt.md		tailwind,react
0	dev21-ricaelmenezes3-portfolio	[21st.dev] Portfolio (by ricaelmenezes3)	prose	21st.dev Registry	21st_dev	1	prompt.md		tailwind,react
0	dev21-sean0205-3d-testimonails	[21st.dev] 3d Testimonails (by sean0205)	prose	21st.dev Registry	21st_dev	1	prompt.md		tailwind,react
0	dev21-shadcnblockscom-hero-195	[21st.dev] Hero 195 (by shadcnblockscom)	prose	21st.dev Registry	21st_dev	1	prompt.md		tailwind,react
0	dev21-shadcnblockscom-hero-195-1	[21st.dev] Hero 195 1 (by shadcnblockscom)	prose	21st.dev Registry	21st_dev	1	prompt.md		tailwind,react
0	dev21-sshahaider-dotted-surface	[21st.dev] Dotted Surface (by sshahaider)	prose	21st.dev Registry	21st_dev	1	prompt.md		tailwind,react
0	dev21-sshahaider-pricing	[21st.dev] Pricing (by sshahaider)	prose	21st.dev Registry	21st_dev	1	prompt.md		tailwind,react
0	dev21-sshahaider-single-pricing-card	[21st.dev] Single Pricing Card (by sshahaider)	prose	21st.dev Registry	21st_dev	1	prompt.md		tailwind,react
0	dev21-sshahaider-zoom-parallax	[21st.dev] Zoom Parallax (by sshahaider)	prose	21st.dev Registry	21st_dev	1	prompt.md		tailwind,react
0	dev21-suraj-xd-liquid-glass	[21st.dev] Liquid Glass (by suraj-xd)	prose	21st.dev Registry	21st_dev	1	prompt.md		tailwind,react
0	dev21-uilayout.contact-pricing-section-4	[21st.dev] Pricing Section 4 (by uilayout.contact)	prose	21st.dev Registry	21st_dev	1	prompt.md		tailwind,react
0	dev21-user_2nElBLvklOKlAURm6W1PTu6yYFh-animated-hero	[21st.dev] Animated Hero (by user_2nElBLvklOKlAURm6W1PTu6yYFh)	prose	21st.dev Registry	21st_dev	1	prompt.md		tailwind,react
0	dev21-user_2nElBLvklOKlAURm6W1PTu6yYFh-cpu-architecture	[21st.dev] Cpu Architecture (by user_2nElBLvklOKlAURm6W1PTu6yYFh)	prose	21st.dev Registry	21st_dev	1	prompt.md		tailwind,react
0	dev21-user_2nElBLvklOKlAURm6W1PTu6yYFh-gradient-button	[21st.dev] Gradient Button (by user_2nElBLvklOKlAURm6W1PTu6yYFh)	prose	21st.dev Registry	21st_dev	1	prompt.md		tailwind,react
0	dev21-user_2nElBLvklOKlAURm6W1PTu6yYFh-splite	[21st.dev] Splite (by user_2nElBLvklOKlAURm6W1PTu6yYFh)	prose	21st.dev Registry	21st_dev	1	prompt.md		tailwind,react
0	dev21-user_2nElBLvklOKlAURm6W1PTu6yYFh-testimonials-with-marquee	[21st.dev] Testimonials With Marquee (by user_2nElBLvklOKlAURm6W1PTu6yYFh)	prose	21st.dev Registry	21st_dev	1	prompt.md		marquee,tailwind,react
